タイトル,NDC分類,NDC分類名,ページ数,著者名,刊行年月日,購入年月日,去年の貸出数,縦(mm),横(mm),厚み(mm),重さ(g),蔵書数,巻数,出版社
仙台の少年,916,日本文学・記録・手記,424,前田 三郎,2016/1/26,2017/7/10,21,189,122,39,843,1,,角川書店
西洋哲学のすすめ,130,西洋哲学,257,三浦 裕子,1988/4/18,1988/11/29,9,213,178,27,1329,1,,福音館書店
夢と謎,914,日本文学・随筆,196,山本 花子,2020/9/11,2020/11/18,16,151,103,14,228,1,,文藝春秋
詩人と嵐,930,英米文学総記,333,Karen Young,2019/4/13,2020/12/1,14,148,106,23,389,1,,角川書店
音楽のすすめ,760,音楽,270,前田 裕子,2015/7/12,2015/11/26,5,214,165,29,1022,1,,角川書店
鍵と英語学,830,英語,300,鈴木 文子,1988/4/14,1988/5/6,13,153,106,23,415,1,,日本評論社
図書_3486,540,電気工学,426,岡田 大輔,2021/12/10,2022/1/25,6,265,190,54,2338,1,,翔泳社
少年と古代,220,アジア史,197,西田 慎吾,2015/9/8,2017/7/17,9,223,153,20,675,1,,ポプラ社
影の伝説 2巻,914,日本文学・随筆,450,柴田 京子,2016/1/25,2016/4/23,14,146,104,35,484,2,2,中央公論新社
魔女の魂,913,日本文学・小説,315,長谷川 光,2011/10/11,2013/1/16,5,152,102,26,380,1,,新潮社
細い心シリーズ 5巻,914,日本文学・随筆,219,佐藤 奈々,2018/1/27,2018/7/14,5,180,126,19,389,2,5,朝倉書店
赤い空,913,日本文学・小説,345,山田 太郎,2008/11/26,2009/3/8,7,147,107,27,386,1,,日本評論社
家政学のしくみ,590,家政学,388,岡田 美咲,2001/2/28,2001/6/12,14,247,195,47,2627,1,,早川書房
魔法の島 2巻,913,日本文学・小説,374,近藤 太郎,2018/7/5,2018/9/28,15,149,108,30,426,1,2,講談社
医者と星,913,日本文学・小説,243,杉山 香織,2017/9/10,2017/12/26,10,232,141,29,883,1,,朝倉書店
図書_4344,110,哲学各論,367,小川 蓮,1986/11/17,1987/5/25,5,254,180,42,1909,1,,中央公論新社
A dark voice,933,英米文学・小説,264,William Anderson,2005/11/11,2007/1/30,9,148,109,21,333,1,,岩波書店
図書_3774,570,化学工業,376,平野 拓哉,2014/12/5,2015/4/28,9,251,185,44,1761,1,,PHP研究所
電気工学演習,540,電気工学,569,田中 健一,2020/5/6,2020/9/8,12,250,180,66,2623,1,,勁草書房
旅人と泉,914,日本文学・随筆,335,坂本 蓮,2012/5/7,2012/10/17,5,224,164,34,1176,1,,福音館書店
画家と平安,290,地理・地誌,329,今井 葵,2021/11/10,2022/2/4,18,248,177,37,1441,1,,角川書店
孤独な草原譚,916,日本文学・記録・手記,354,池田 陽,1991/11/24,1991/12/5,18,222,148,31,934,1,,弘文堂
苦い哲学,100,哲学総記,388,高橋 香織,2017/11/4,2018/4/5,8,248,169,43,1654,1,,講談社
Beyond the dream,933,英米文学・小説,352,Laura Davis,2013/2/7,2013/7/1,12,154,105,26,432,1,,早川書房
ぼくらの霧 5巻,913,日本文学・小説,401,加藤 奈々,2015/2/16,2015/5/27,4,213,152,49,1434,2,5,文藝春秋
旅人の時間,913,日本文学・小説,300,岩田 健一,2020/7/16,2021/8/6,17,233,172,34,1202,1,,勁草書房
魔法の鍵 2巻,914,日本文学・随筆,256,三浦 奈々,2016/10/9,2017/2/19,13,183,128,24,573,1,2,ポプラ社
図書_2155,410,数学,251,長谷川 咲,2021/10/5,2023/1/11,6,256,188,27,1159,1,,祥伝社
侍女の空,914,日本文学・随筆,334,三浦 太郎,1950/1/16,1950/3/5,11,219,165,35,1116,1,,祥伝社
侍女と泉,913,日本文学・小説,271,西村 次郎,1981/10/3,1982/3/25,6,146,102,27,349,1,,有斐閣
図書_3761,160,宗教総記,223,前田 恵子,2010/12/17,2011/7/17,3,239,155,23,847,1,,技術評論社
扉と英語学,830,英語,280,井上 蓮,2022/4/11,2022/4/11,5,229,152,32,1071,1,,光文社
現代のアジア史,220,アジア史,245,土屋 浩二,2005/3/20,2005/5/28,6,205,155,28,837,1,,文藝春秋
丘と奇跡 5巻,914,日本文学・随筆,305,遠藤 莉子,2009/1/30,2009/6/13,3,150,104,22,329,1,5,丸善
丘と奇跡 3巻,914,日本文学・随筆,376,遠藤 莉子,2004/10/14,2005/3/12,9,145,108,23,305,1,3,丸善
現代メディア論,70,ジャーナリズム,60,田中 由美,2015/10/14,2015/11/5,4,223,157,7,345,1,,ミネルヴァ書房
植物学概論,470,植物学,366,石川 湊,1999/10/13,2000/5/8,3,173,102,42,625,1,,中央公論新社
図書_2859,540,電気工学,245,田中 奈々,2011/3/14,2011/5/10,5,172,103,24,390,1,,幻冬舎
細い英語学,830,英語,296,小川 恵子,2020/12/24,2021/1/29,12,230,145,35,1037,1,,技術評論社
図書_4452,540,電気工学,378,坂本 純,2012/6/12,2012/7/6,9,214,162,33,1073,1,,祥伝社
強い樹,913,日本文学・小説,459,阿部 大輔,1982/10/20,1984/1/20,25,177,131,38,820,1,,丸善
ぼくらの風 3巻,913,日本文学・小説,356,西田 理恵,2018/6/18,2018/9/11,5,186,125,36,725,1,3,新潮社
古い心理学,140,心理学,433,小林 慎吾,1988/11/8,1988/11/30,10,262,183,52,2454,1,,祥伝社
The Last garden,973,ドイツ文学・小説,202,Lisa Green,2014/11/12,2015/3/14,10,234,144,21,651,1,,弘文堂
写真家と平安,230,ヨーロッパ史,370,井上 文子,1985/6/14,1986/2/12,3,255,176,40,1617,1,,岩波書店
図書_2871,340,財政学,290,斎藤 奈々,2020/3/5,2020/3/7,12,183,135,25,647,1,,丸善
魔法の鍵 3巻,914,日本文学・随筆,338,三浦 奈々,2018/12/17,2019/4/9,10,229,155,34,1111,1,3,角川書店
storm of Dublin,933,英米文学・小説,171,Barbara Lewis,2016/6/4,2017/2/25,11,147,101,11,196,1,,有斐閣
あの夕暮れの夢,914,日本文学・随筆,242,柴田 蓮,2013/11/8,2014/1/6,10,151,99,18,240,1,,福音館書店
太陽と倫理学,150,倫理学,248,木村 美咲,2014/4/17,2014/8/23,12,212,161,31,971,1,,文藝春秋
図書_4837,830,英語,204,藤井 陽,1994/4/18,1994/7/20,11,228,153,22,837,1,,吉川弘文館
あの夕凪の丘,913,日本文学・小説,287,杉山 美咲,2022/5/12,2022/7/8,16,205,146,28,867,1,,集英社
A forgotten river,953,フランス文学・小説,294,Dorothy Carter,2022/6/21,2023/8/30,8,180,128,30,584,1,,講談社
湖の伝説 1巻,913,日本文学・小説,208,小林 次郎,1992/5/29,1992/11/7,4,175,123,19,370,1,1,ハヤカワ書房
